word,phoneme,word_syllable_sequence,phoneme_syllable_sequence
adem,adəm,adem,adəm
adempauze,adəmpauzə,a.dem.pau.ze,a.dəm.pau.zə
adhesi,adhesi,ad.he.si,ad.he.si
adhesif,adhesif,ad.he.sif,ad.he.sif
adib,adib,a.dib,a.dib
adibintang,adibintaŋ,a.di.bin.tang,a.di.bin.taŋ
adibusana,adibusana,a.di.bu.sa.na,a.di.bu.sa.na
adicita,aditʃita,a.di.ci.ta,a.di.tʃi.ta
adidaya,adidaja,a.di.da.ya,a.di.da.ja
adigang,adigaŋ,a.di.gang,a.di.gaŋ
adiguna,adiguna,a.di.gu.na,a.di.gu.na
adigung,adiguŋ,a.di.gung,a.di.guŋ
adika,adika,a.di.ka,a.di.ka
adik,adiʔ,a.dik,a.diʔ
adikara,adikara,a.di.ka.ra,a.di.ka.ra
adikarya,adikarja,a.di.kar.ya,a.di.kar.ja
adikku,adiʔku,a.dik.ku,a.diʔ.ku
adikmu,adiʔmu,a.dik.mu,a.diʔ.mu
adiknya,adiʔɲa,a.dik.nya,a.diʔ.ɲa
adikodrati,adikodrati,a.di.kod.ra.ti,a.di.kod.ra.ti
adikong,adikoŋ,a.di.kong,a.di.koŋ
adiksi,adiʔsi,a.dik.si,a.diʔ.si
adiktif,adiʔtif,a.dik.tif,a.diʔ.tif
adikuasa,adikuasa,a.di.ku.a.sa,a.di.ku.a.sa
adil,adil,a.dil,a.dil
adilan,adilan,a.dil.an,a.dil.an
adiluhung,adiluhuŋ,a.di.lu.hung,a.di.lu.huŋ
adimarga,adimarga,a.di.mar.ga,a.di.mar.ga
adinda,adinda,a.din.da,a.din.da
ading,adiŋ,a.ding,a.diŋ
adipati,adipati,a.di.pa.ti,a.di.pa.ti
adipenghantar,adipəŋhantar,a.di.peng.han.tar,a.di.pəŋ.han.tar
adipositas,adipositas,a.di.po.si.tas,a.di.po.si.tas
adipura,adipura,a.di.pu.ra,a.di.pu.ra
adiraja,adiradʒa,a.di.ra.ja,a.di.ra.dʒa
adiratna,adiratna,a.di.rat.na,a.di.rat.na
adisional,adisional,a.di.si.o.nal,a.di.si.o.nal
adisiswa,adisiswa,a.di.sis.wa,a.di.sis.wa
aditif,aditif,a.di.tif,a.di.tif
aditokoh,aditokoh,a.di.to.koh,a.di.to.koh
adiwangsa,adiwaŋsa,a.di.wang.sa,a.di.waŋ.sa
adiwarna,adiwarna,a.di.war.na,a.di.war.na
adiwidia,adiwidia,a.di.wi.di.a,a.di.wi.di.a
adjektiva,addʒeʔtiva,ad.jek.ti.va,ad.dʒeʔ.ti.va
administrasi,administrasi,ad.mi.nis.tra.si,ad.mi.nis.tra.si
administratif,administratif,ad.mi.nis.tra.tif,ad.mi.nis.tra.tif
administrator,administrator,ad.mi.nis.tra.tor,ad.mi.nis.tra.tor
admiral,admiral,ad.mi.ral,ad.mi.ral
admisi,admisi,ad.mi.si,ad.mi.si
adon,adon,a.don,a.don
adonan,adonan,a.don.an,a.don.an
adopsi,adopsi,ad.op.si,ad.op.si
adoptif,adoptif,ad.op.tif,ad.op.tif
adrenal,adrenal,ad.re.nal,ad.re.nal
adrenalin,adrenalin,ad.re.na.lin,ad.re.na.lin
adres,adres,ad.res,ad.res
adsorben,adsorben,ad.sor.ben,ad.sor.ben
adsorpsi,adsorpsi,ad.sorp.si,ad.sorp.si
a'du,aʔdu,a'.du,aʔ.du
adu,adu,a.du,a.du
aduan,aduan,a.du.an,a.du.an
aduh,aduh,a.duh,a.duh
aduhai,aduhai,a.du.hai,a.du.hai
aduk,aduʔ,a.duk,a.duʔ
adukan,adukan,a.duk.an,a.duk.an
adun,adun,a.dun,a.dun
adunan,adunan,a.dun.an,a.dun.an
adverbial,adverbial,ad.ver.bi.al,ad.ver.bi.al
advertensi,advərtensi,ad.ver.ten.si,ad.vər.ten.si
advis,advis,ad.vis,ad.vis
advokasi,advokasi,ad.vo.ka.si,ad.vo.ka.si
advokat,advokat,ad.vo.kat,ad.vo.kat
aerasi,aerasi,a.e.ra.si,a.e.ra.si
aerob,aerob,a.e.rob,a.e.rob
aerobatik,aerobatiʔ,a.e.ro.ba.tik,a.e.ro.ba.tiʔ
aerobik,aerobiʔ,a.e.ro.bik,a.e.ro.biʔ
aerodinamika,aerodinamika,a.e.ro.di.na.mi.ka,a.e.ro.di.na.mi.ka
aerogram,aerogram,a.e.ro.gram,a.e.ro.gram
aerologi,aerologi,a.e.ro.lo.gi,a.e.ro.lo.gi
aerometer,aerometər,a.e.ro.me.ter,a.e.ro.me.tər
aeromovel,aeromovel,a.e.ro.mo.vel,a.e.ro.mo.vel
aeronautika,aeronautika,a.e.ro.nau.ti.ka,a.e.ro.nau.ti.ka
aeronautik,aeronautiʔ,a.e.ro.nau.tik,a.e.ro.nau.tiʔ
aeroskop,aeroskop,a.e.ro.skop,a.e.ro.skop
aerosol,aerosol,a.e.ro.sol,a.e.ro.sol
aerostatika,aerostatika,a.e.ro.sta.ti.ka,a.e.ro.sta.ti.ka
afal,afal,af.al,af.al
afdal,afdal,af.dal,af.dal
afdeling,afdeliŋ,af.de.ling,af.de.liŋ
afdruk,afdruʔ,af.druk,af.druʔ
afek,afeʔ,a.fek,a.feʔ
afeksi,afeʔsi,a.fek.si,a.feʔ.si
afektif,afeʔtif,a.fek.tif,a.feʔ.tif
afiat,afiat,a.fi.at,a.fi.at
afiks,afiʔs,a.fiks,a.fiʔs
afiksasi,afiʔsasi,a.fik.sa.si,a.fiʔ.sa.si
afiliasi,afiliasi,a.fi.li.a.si,a.fi.li.a.si
afinitas,afinitas,a.fi.ni.tas,a.fi.ni.tas
afirmasi,afirmasi,a.fir.ma.si,a.fir.ma.si
afirmatif,afirmatif,a.fir.ma.tif,a.fir.ma.tif
afrikat,afrikat,af.ri.kat,af.ri.kat
afrit,afrit,af.rit,af.rit
afrodisiak,afrodisiaʔ,af.ro.di.si.ak,af.ro.di.si.aʔ
afsun,afsun,af.sun,af.sun
afwah,afwah,af.wah,af.wah
aga,aga,a.ga,a.ga
agah,agah,a.gah,a.gah
agak,agaʔ,a.gak,a.gaʔ
agaknya,agaʔɲa,a.gak.nya,a.gaʔ.ɲa
agal,agal,a.gal,a.gal
agama,agama,a.ga.ma,a.ga.ma
agam,agam,a.gam,a.gam
agamaku,agamaku,a.ga.ma.ku,a.ga.ma.ku
agamanya,agamaɲa,a.ga.ma.nya,a.ga.ma.ɲa
agamawan,agamawan,a.ga.ma.wan,a.ga.ma.wan
agamawi,agamawi,a.ga.ma.wi,a.ga.ma.wi
agami,agami,a.ga.mi,a.ga.mi
agan,agan,a.gan,a.gan
agar,agar,a.gar,a.gar
agas,agas,a.gas,a.gas
agen,agen,a.gen,a.gen
agenda,agenda,a.gen.da,a.gen.da
agensi,agensi,a.gen.si,a.gen.si
agih,agih,a.gih,a.gih
agihan,agihan,a.gih.an,a.gih.an
agio,agio,a.gi.o,a.gi.o
agitasi,agitasi,a.gi.ta.si,a.gi.ta.si
agitator,agitator,a.gi.ta.tor,a.gi.ta.tor
aglutinasi,aglutinasi,ag.lu.ti.na.si,ag.lu.ti.na.si
agnostik,agnostiʔ,ag.nos.tik,aʔ.nos.tiʔ
agnostisisme,agnostisismə,ag.nos.ti.sis.me,aʔ.nos.ti.sis.mə
a-go-go,agogo,a.-go.-go,a.go.go
ago-go,agogo,a.go.-go,a.go.go
agraria,agraria,ag.ra.ri.a,ag.ra.ri.a
agraris,agraris,ag.ra.ris,ag.ra.ris
agregasi,agregasi,ag.re.ga.si,ag.re.ga.si
agregat,agregat,ag.re.gat,ag.re.gat
agresi,agresi,ag.re.si,ag.re.si
agresif,agresif,ag.re.sif,ag.re.sif
agresivitas,agresivitas,ag.re.si.vi.tas,ag.re.si.vi.tas
agresor,agresor,ag.re.sor,ag.re.sor
agroindustri,agroindustri,ag.ro.in.dus.tri,ag.ro.in.dus.tri
agronomi,agronomi,ag.ro.no.mi,ag.ro.no.mi
aguk,aguʔ,a.guk,a.guʔ
agul,agul,a.gul,a.gul
agun,agun,a.gun,a.gun
agunan,agunan,a.gun.an,a.gun.an
agung,aguŋ,a.gung,a.guŋ
agus,agus,a.gus,a.gus
agut,agut,a.gut,a.gut
a'had,aʔhad,a'.had,aʔ.had
ahad,ahad,a.had,a.had
ahadiat,ahadiat,a.ha.di.at,a.ha.di.at
ah,ah,ah,ah
ahimsa,ahimsa,a.him.sa,a.him.sa
ahkam,ahkam,ah.kam,ah.kam
ahli,ahli,ah.li,ah.li
ahlulbait,ahlulbait,ah.lul.ba.it,ah.lul.ba.it
ahlulkitab,ahlulkitab,ah.lul.ki.tab,ah.lul.ki.tab
ahlulkubur,ahlulkubur,ah.lul.ku.bur,ah.lul.ku.bur
ahmad,ahmad,ah.mad,ah.mad
ahmak,ahmaʔ,ah.mak,ah.maʔ
ahmar,ahmar,ah.mar,ah.mar
aho,aho,aho,aho
ahwal,ahwal,ah.wal,ah.wal
ai,ai,ai,ai
aib,aib,a.ib,a.ib
aidilfitri,aidilfitri,a.i.dil.fit.ri,a.i.dil.fit.ri
ain,ain,a.in,a.in
ainulbanat,ainulbanat,ai.nul.ba.nat,ai.nul.ba.nat
air,air,a.ir,a.ir
airi,airi,a.ir.i,a.ir.i
airmata,airmata,a.ir.ma.ta,a.ir.ma.ta
airnya,airɲa,a.ir.nya,a.ir.ɲa
ais,ais,a.is,a.is
aja,adʒa,a.ja,a.dʒa
ajab,adʒab,a.jab,a.dʒab
ajaib,adʒaib,a.ja.ib,a.dʒa.ib
ajak,adʒaʔ,a.jak,a.dʒaʔ
ajakan,adʒakan,a.jak.an,a.dʒak.an
ajal,adʒal,a.jal,a.dʒal
ajang,adʒaŋ,a.jang,a.dʒaŋ
ajar,adʒar,a.jar,a.dʒar
ajaran,adʒaran,a.jar.an,a.dʒar.an
ajaranmu,adʒaranmu,a.jar.an.mu,a.dʒar.an.mu
ajari,adʒari,a.jar.i,a.dʒar.i
ajek,adʒəʔ,a.jek,a.dʒəʔ
ajengan,adʒəŋan,a.jeng.an,a.dʒəŋ.an
aji,adʒi,a.ji,a.dʒi
ajir,adʒir,a.jir,a.dʒir
ajnabi,adʒnabi,aj.na.bi,adʒ.na.bi
ajnas,adʒnas,aj.nas,adʒ.nas
ajojing,adʒodʒiŋ,a.jo.jing,a.dʒo.dʒiŋ
aju,adʒu,a.ju,a.dʒu
ajuan,adʒuan,a.ju.an,a.dʒu.an
ajudan,adʒudan,a.ju.dan,a.dʒu.dan
ajujah,adʒudʒah,a.ju.jah,a.dʒu.dʒah
ajuk,adʒuʔ,a.juk,a.dʒuʔ
ajukan,adʒukan,a.juk.an,a.dʒuk.an
ajun,adʒun,a.jun,a.dʒun
ajur,adʒur,a.jur,a.dʒur
akad,akad,a.kad,a.kad
akademi,akademi,a.ka.de.mi,a.ka.de.mi
akademik,akademiʔ,a.ka.de.mik,a.ka.de.miʔ
akademikus,akademikus,a.ka.de.mi.kus,a.ka.de.mi.kus
akademis,akademis,a.ka.de.mis,a.ka.de.mis
akademisi,akademisi,a.ka.de.mi.si,a.ka.de.mi.si
akaid,akaid,a.ka.id,a.ka.id
ak-ak,akaʔ,ak.-ak,ak.aʔ
akak,akaʔ,a.kak,a.kaʔ
akal,akal,a.kal,a.kal
akalnya,akalɲa,a.kal.nya,a.kal.ɲa
akan,akan,a.kan,a.kan
akanan,akanan,a.kan.an,a.kan.an
akang,akaŋ,a.kang,a.kaŋ
akar,akar,a.kar,a.kar
akas,akas,a.kas,a.kas
akasia,akasia,a.ka.si.a,a.ka.si.a
akaun,akaun,a.kaun,a.kaun
akbar,aʔbar,ak.bar,aʔ.bar
akhbar,aʔhbar,akh.bar,akh.bar
akhir,aʔhir,a.khir,a.khir
akhiran,aʔhiran,a.khir.an,a.khir.an
akhirat,aʔhirat,a.khi.rat,a.khi.rat
akhirnya,aʔhirɲa,a.khir.nya,a.khir.ɲa
akhirulkalam,aʔhirulkalam,a.khi.rul.ka.lam,a.khi.rul.ka.lam
akhlak,aʔhlaʔ,akh.lak,akh.laʔ
akhtaj,aʔhtadʒ,akh.taj,akh.tadʒ
akhwat,aʔhwat,akh.wat,akh.wat
aki,aki,a.ki,a.ki
akibat,akibat,a.ki.bat,a.ki.bat
akibatnya,akibatɲa,a.ki.bat.nya,a.ki.bat.ɲa
akidah,akidah,a.ki.dah,a.ki.dah
akikah,akikah,a.ki.kah,a.ki.kah
akik,akiʔ,a.kik,a.kiʔ
akil,akil,a.kil,a.kil
aklamasi,aʔlamasi,ak.la.ma.si,ak.la.ma.si
akliah,aʔliah,ak.li.ah,ak.li.ah
aklimatisasi,aʔlimatisasi,ak.li.ma.ti.sa.si,ak.li.ma.ti.sa.si
akmal,aʔmal,ak.mal,aʔ.mal
akomodasi,akomodasi,a.ko.mo.da.si,a.ko.mo.da.si
akomodatif,akomodatif,a.ko.mo.da.tif,a.ko.mo.da.tif
akor,akor,a.kor,a.kor
akordeon,akordeon,a.kor.de.on,a.kor.de.on
akrab,aʔrab,ak.rab,ak.rab
akrabnya,aʔrabɲa,ak.rab.nya,ak.rab.ɲa
akreditasi,aʔreditasi,ak.re.di.ta.si,ak.re.di.ta.si
akrilik,aʔriliʔ,ak.ri.lik,ak.ri.liʔ
akrobat,aʔrobat,ak.ro.bat,ak.ro.bat
akrobatik,aʔrobatiʔ,ak.ro.ba.tik,ak.ro.ba.tiʔ
akronim,aʔronim,ak.ro.nim,ak.ro.nim
aksa,aʔsa,ak.sa,aʔ.sa
aksara,aʔsara,ak.sa.ra,aʔ.sa.ra
aksarawan,aʔsarawan,ak.sa.ra.wan,aʔ.sa.ra.wan
aksarawati,aʔsarawati,ak.sa.ra.wa.ti,aʔ.sa.ra.wa.ti
akselerasi,aʔselərasi,ak.se.le.ra.si,aʔ.se.lə.ra.si
akselerator,aʔselərator,ak.se.le.ra.tor,aʔ.se.lə.ra.tor
aksen,aʔsen,ak.sen,aʔ.sen
aksentuasi,aʔsentuasi,ak.sen.tu.a.si,aʔ.sen.tu.a.si
aksep,aʔsep,ak.sep,aʔ.sep
akseptabel,aʔseptabəl,ak.sep.ta.bel,aʔ.sep.ta.bəl
akseptasi,aʔseptasi,ak.sep.ta.si,aʔ.sep.ta.si
akseptor,aʔseptor,ak.sep.tor,aʔ.sep.tor
akses,aʔses,ak.ses,aʔ.ses
aksesibilitas,aʔsesibilitas,ak.se.si.bi.li.tas,aʔ.se.si.bi.li.tas
aksi,aʔsi,ak.si,aʔ.si
aksidental,aʔsidental,ak.si.den.tal,aʔ.si.den.tal
aksioma,aʔsioma,ak.si.o.ma,aʔ.si.o.ma
aksiomatis,aʔsiomatis,ak.si.o.ma.tis,aʔ.si.o.ma.tis
aksis,aʔsis,ak.sis,aʔ.sis
akson,aʔson,ak.son,aʔ.son
akta,aʔta,ak.ta,aʔ.ta
aktentas,aʔtəntas,ak.ten.tas,aʔ.tən.tas
aktif,aʔtif,ak.tif,aʔ.tif
aktiva,aʔtiva,ak.ti.va,aʔ.ti.va
aktivis,aʔtivis,ak.ti.vis,aʔ.ti.vis
aktivitas,aʔtivitas,ak.ti.vi.tas,aʔ.ti.vi.tas
aktor,aʔtor,ak.tor,aʔ.tor
aktris,aʔtris,ak.tris,aʔ.tris
aktual,aʔtual,ak.tu.al,aʔ.tu.al
aktualisasi,aʔtualisasi,ak.tu.a.li.sa.si,aʔ.tu.a.li.sa.si
aktuaria,aʔtuaria,ak.tu.a.ri.a,aʔ.tu.a.ri.a
aktuaris,aʔtuaris,ak.tu.a.ris,aʔ.tu.a.ris
akuades,akuades,a.ku.a.des,a.ku.a.des
akuaduk,akuaduʔ,a.ku.a.duk,a.ku.a.duʔ
aku,aku,a.ku,a.ku
akuakultur,akuakultur,a.ku.a.kul.tur,a.ku.a.kul.tur
akuan,akuan,a.ku.an,a.ku.an
akuarel,akuarel,a.ku.a.rel,a.ku.a.rel
akuarium,akuarium,a.ku.a.ri.um,a.ku.a.ri.um
akui,akui,a.ku.i,a.ku.i
akuifer,akuifer,a.ku.i.fer,a.ku.i.fer
akuisisi,akuisisi,a.ku.i.si.si,a.ku.i.si.si
akuk,akuʔ,a.kuk,a.kuʔ
akulah,akulah,a.ku.lah,a.ku.lah
akulturasi,akulturasi,a.kul.tu.ra.si,a.kul.tu.ra.si
akumulasi,akumulasi,a.ku.mu.la.si,a.ku.mu.la.si
akumulatif,akumulatif,a.ku.mu.la.tif,a.ku.mu.la.tif
akumulator,akumulator,a.ku.mu.la.tor,a.ku.mu.la.tor
akun,akun,a.kun,a.kun
akuntan,akuntan,a.kun.tan,a.kun.tan
akuntansi,akuntansi,a.kun.tan.si,a.kun.tan.si
akupunktur,akupunʔtur,a.ku.punk.tur,a.ku.puŋ.tur
akupunkturis,akupunʔturis,a.ku.punk.tu.ris,a.ku.puŋ.tu.ris
akur,akur,a.kur,a.kur
akurasi,akurasi,a.ku.ra.si,a.ku.ra.si
akurat,akurat,a.ku.rat,a.ku.rat
akusatif,akusatif,a.ku.sa.tif,a.ku.sa.tif
akustika,akustika,a.kus.ti.ka,a.kus.ti.ka
akustik,akustiʔ,a.kus.tik,a.kus.tiʔ
akut,akut,a.kut,a.kut
akwal,aʔwal,ak.wal,ak.wal
ala,ala,a.la,a.la
alabangka,alabaŋka,a.la.bang.ka,a.la.baŋ.ka
alabio,alabio,a.la.bi.o,a.la.bi.o
alaf,alaf,a.laf,a.laf
alah,alah,a.lah,a.lah
alahan,alahan,a.lah.an,a.lah.an
alai,alai,a.lai,a.lai
alaihi,alaihi,a.lai.hi,a.lai.hi
alaika,alaika,a.lai.ka,a.lai.ka
alaikum,alaikum,a.lai.kum,a.lai.kum
alak,alaʔ,a.lak,a.laʔ
al,al,al,al
alamak,alamaʔ,ala.mak,ala.maʔ
alam,alam,a.lam,a.lam
alamanda,alamanda,a.la.man.da,a.la.man.da
alamas,alamas,a.la.mas,a.la.mas
alamat,alamat,a.la.mat,a.la.mat
alamatulhayat,alamatulhajat,a.la.ma.tul.ha.yat,a.la.ma.tul.ha.jat
alamiah,alamiah,a.la.mi.ah,a.la.mi.ah
alami,alami,a.la.mi,a.la.mi
alamin,alamin,a.la.min,a.la.min
alamnya,alamɲa,a.lam.nya,a.lam.ɲa
alan,alan,a.lan,a.lan
alang,alaŋ,a.lang,a.laŋ
alangan,alaŋan,a.lang.an,a.laŋ.an
alangkah,alaŋkah,a.lang.kah,a.laŋ.kah
alap,alap,a.lap,a.lap
alarm,alarm,a.larm,a.larm
alas,alas,a.las,a.las
alasan,alasan,a.las.an,a.las.an
alat,alat,a.lat,a.lat
alau,alau,a.lau,a.lau
albas,albas,al.bas,al.bas
albino,albino,al.bi.no,al.bi.no
album,album,al.bum,al.bum
albumen,albumen,al.bu.men,al.bu.men
alegori,alegori,a.le.go.ri,a.le.go.ri
alegoris,alegoris,a.le.go.ris,a.le.go.ris
alem,aləm,a.lem,a.ləm
aleman,aləman,a.lem.an,a.ləm.an
alergen,alergen,a.ler.gen,a.ler.gen
alergi,alergi,a.ler.gi,a.ler.gi
alergis,alergis,a.ler.gis,a.ler.gis
alfa,alfa,al.fa,al.fa
alfabet,alfabet,al.fa.bet,al.fa.bet
alfabetis,alfabetis,al.fa.be.tis,al.fa.be.tis
alf,alf,alf,alf
alfu,alfu,al.fu,al.fu
alga,alga,al.ga,al.ga
algojo,algodʒo,al.go.jo,al.go.dʒo
algoritma,algoritma,al.go.rit.ma,al.go.rit.ma
algoritme,algoritmə,al.go.rit.me,al.go.rit.mə
alhamdulillah,alhamdulillah,al.ham.du.lil.lah,al.ham.du.lil.lah
alhasil,alhasil,al.ha.sil,al.ha.sil
aliah,aliah,a.li.ah,a.li.ah
ali,ali,a.li,a.li
aliansi,aliansi,a.li.an.si,a.li.an.si
alias,alias,a.li.as,a.li.as
alibi,alibi,a.li.bi,a.li.bi
alienasi,alienasi,a.li.e.na.si,a.li.e.na.si
alif,alif,a.lif,a.lif
alif-ba-ta,alifbata,a.lif.-ba.-ta,a.lif.ba.ta
alifbata,alifbata,a.lif.ba.ta,a.lif.ba.ta
alih,alih,a.lih,a.lih
alihan,alihan,a.lih.an,a.lih.an
alik,aliʔ,a.lik,a.liʔ
alim,alim,a.lim,a.lim
alimbubu,alimbubu,a.lim.bu.bu,a.lim.bu.bu
alimentasi,alimentasi,a.li.men.ta.si,a.li.men.ta.si
alimiah,alimiah,a.li.mi.ah,a.li.mi.ah
alimiat,alimiat,a.li.mi.at,a.li.mi.at
alin,alin,a.lin,a.lin
alinea,alinea,a.li.ne.a,a.li.ne.a
aling,aliŋ,a.ling,a.liŋ
alingan,aliŋan,a.ling.an,a.liŋ.an
alip,alip,a.lip,a.lip
alir,alir,a.lir,a.lir
aliran,aliran,a.lir.an,a.lir.an
alis,alis,a.lis,a.lis
alit,alit,a.lit,a.lit
aliterasi,alitərasi,a.li.te.ra.si,a.li.tə.ra.si
aljabar,aldʒabar,al.ja.bar,al.dʒa.bar
alkah,alkah,al.kah,al.kah
alkali,alkali,al.ka.li,al.ka.li
alkaloid,alkaloid,al.ka.lo.id,al.ka.lo.id
alkamar,alkamar,al.ka.mar,al.ka.mar
alkari,alkari,al.ka.ri,al.ka.ri
